1,Operating System Support,Operating systems must not be out of vendor support.,100% of applicable servers/workstations run vendor-supported OS versions.,3,Upgrade or migrate affected operating systems to vendor-supported versions and add lifecycle governance checkpoints.
2,Operating System N-2,Operating systems must be N-2 or better.,100% of applicable servers/workstations are N-2 or better.,4,Plan staged OS major-version uplift to reach N-2 or better across impacted hosts.
3,Server Critical Vulnerability,Servers must not have Critical vulnerabilities.,0 servers with critical vulnerabilities.,2,Patch or mitigate critical server vulnerabilities immediately and confirm exploitability posture.
4,Production Server High Risk (Critical + Unsupported OS),High Risk: Production servers must not have Critical vulns with out-of-support OS.,0 production servers with critical vulnerabilities on unsupported OS.,1,Treat as immediate operational risk: isolate or patch production server, remove critical vuln, and uplift unsupported OS.
5,Production Server High Risk (Critical + Unsupported Software),High Risk: Production servers must not have Critical vulns with out-of-support installed software.,0 production servers with critical vulnerabilities plus unsupported installed software.,1,Prioritize production server software remediation: update unsupported software and clear linked critical vulnerabilities.
6,Production Workstation High Risk (Critical + Unsupported Software),High Risk: Production-supporting workstations must not have Critical vulns with out-of-support installed software.,0 production-supporting workstations with critical vulnerabilities plus unsupported installed software.,1,Prioritize production-support workstation software remediation: update unsupported software and clear linked critical vulnerabilities.
7,Network Device Critical Vulnerability,Network devices must not have Critical vulnerabilities.,0 network devices with critical vulnerabilities.,2,Patch or mitigate critical network-device vulnerabilities and validate rule/ACL hardening.
8,Network Device Support,Network devices must not have unsupported OS/firmware.,100% of network-device OS/firmware versions are supported.,3,Upgrade device firmware/OS to supported releases and align with approved baseline catalog.
9,Network Device Patch Currency,Network devices must be on latest patches.,100% of network devices on latest patch level.,6,Bring network devices to latest patch level and enforce maintenance windows with SLA tracking.
10,Asset Lifecycle Currency,No physical device should be EOL or out of warranty.,0 physical devices in EOL or out-of-warranty state.,7,Replace or renew lifecycle-expired assets (EOL / out-of-warranty) through prioritized capital plan.
